Model,Accuracy,Precision,Recall,F1,Train_s,Infer_ms
Random Forest,0.9984,0.99852,0.9984,0.99843,38.25,401.7
K-Nearest Neighbors,0.9984,0.99839,0.9984,0.99838,1.59,12539.61
Decision Tree,0.99822,0.99838,0.99822,0.99827,14.48,26.3
MLP (sklearn),0.99601,0.99599,0.99601,0.99592,489.44,1126.81
1D CNN,0.98463,0.98935,0.98463,0.98644,1193.22,13272.87
Gradient Boosting,0.97058,0.99595,0.97058,0.98273,971.6,1267.15
Shallow MLP,0.95753,0.97489,0.95753,0.96379,215.14,4993.46
Deep MLP,0.94843,0.97079,0.94843,0.95629,759.31,7006.42
Logistic Regression,0.66364,0.93604,0.66364,0.76265,97.03,34.07
